,constraint_center,constraint_width,learning_rate,n_epochs,accuracy
0,1.0,1,1.0,5,0.9466666666666667
1,1.0,1,1.0,6,0.9466666666666667
2,1.0,1,1.0,7,0.9546666666666667
3,1.0,1,1.0,8,0.9493333333333334
4,1.0,1,1.0,9,0.9493333333333334
5,1.0,2,1.0,5,0.9466666666666667
6,1.0,2,1.0,6,0.9493333333333334
7,1.0,2,1.0,7,0.9493333333333334
8,1.0,2,1.0,8,0.9466666666666667
9,1.0,2,1.0,9,0.9466666666666667
10,1.0,3,1.0,5,0.9520000000000002
11,1.0,3,1.0,6,0.9493333333333333
12,1.0,3,1.0,7,0.9466666666666667
13,1.0,3,1.0,8,0.9546666666666667
14,1.0,3,1.0,9,0.9466666666666667
15,1.0,4,1.0,5,0.9473333333333332
16,1.0,4,1.0,6,0.9466666666666667
17,1.0,4,1.0,7,0.9466666666666667
18,1.0,4,1.0,8,0.9466666666666667
19,1.0,4,1.0,9,0.9440000000000002
20,0.5,1,1.0,5,0.9466666666666667
21,0.5,1,1.0,6,0.9466666666666667
22,0.5,1,1.0,7,0.9493333333333334
23,0.5,1,1.0,8,0.9493333333333334
24,0.5,1,1.0,9,0.9466666666666667
25,0.5,2,1.0,5,0.9493333333333334
26,0.5,2,1.0,6,0.9493333333333334
27,0.5,2,1.0,7,0.9520000000000002
28,0.5,2,1.0,8,0.9466666666666667
29,0.5,2,1.0,9,0.9493333333333334
30,0.5,3,1.0,5,0.9546666666666667
31,0.5,3,1.0,6,0.9493333333333334
32,0.5,3,1.0,7,0.9493333333333334
33,0.5,3,1.0,8,0.9493333333333334
34,0.5,3,1.0,9,0.9546666666666667
35,0.5,4,1.0,5,0.9466666666666667
36,0.5,4,1.0,6,0.9466666666666667
37,0.5,4,1.0,7,0.9493333333333334
38,0.5,4,1.0,8,0.9466666666666667
39,0.5,4,1.0,9,0.9466666666666667
40,0.3333333333333333,1,1.0,5,0.9493333333333334
41,0.3333333333333333,1,1.0,6,0.9466666666666667
42,0.3333333333333333,1,1.0,7,0.9446666666666668
43,0.3333333333333333,1,1.0,8,0.9493333333333334
44,0.3333333333333333,1,1.0,9,0.9493333333333334
45,0.3333333333333333,2,1.0,5,0.9493333333333334
46,0.3333333333333333,2,1.0,6,0.9493333333333333
47,0.3333333333333333,2,1.0,7,0.9493333333333333
48,0.3333333333333333,2,1.0,8,0.9493333333333334
49,0.3333333333333333,2,1.0,9,0.9466666666666667
50,0.3333333333333333,3,1.0,5,0.9466666666666667
51,0.3333333333333333,3,1.0,6,0.9493333333333334
52,0.3333333333333333,3,1.0,7,0.952
53,0.3333333333333333,3,1.0,8,0.9466666666666667
54,0.3333333333333333,3,1.0,9,0.9493333333333334
55,0.3333333333333333,4,1.0,5,0.9520000000000002
56,0.3333333333333333,4,1.0,6,0.9466666666666667
57,0.3333333333333333,4,1.0,7,0.9493333333333334
58,0.3333333333333333,4,1.0,8,0.9466666666666667
59,0.3333333333333333,4,1.0,9,0.9493333333333334
60,0.25,1,1.0,5,0.9466666666666667
61,0.25,1,1.0,6,0.9493333333333334
62,0.25,1,1.0,7,0.9493333333333334
63,0.25,1,1.0,8,0.9466666666666667
64,0.25,1,1.0,9,0.9466666666666667
65,0.25,2,1.0,5,0.9520000000000002
66,0.25,2,1.0,6,0.9466666666666667
67,0.25,2,1.0,7,0.9466666666666667
68,0.25,2,1.0,8,0.9493333333333334
69,0.25,2,1.0,9,0.9446666666666668
70,0.25,3,1.0,5,0.9466666666666667
71,0.25,3,1.0,6,0.9473333333333332
72,0.25,3,1.0,7,0.9466666666666667
73,0.25,3,1.0,8,0.9466666666666667
74,0.25,3,1.0,9,0.9466666666666667
75,0.25,4,1.0,5,0.952
76,0.25,4,1.0,6,0.9466666666666667
77,0.25,4,1.0,7,0.9493333333333334
78,0.25,4,1.0,8,0.9520000000000002
79,0.25,4,1.0,9,0.9493333333333334
